0.0,150.0,255.0,350.0,475.0,600.0,100.0,250.0,330.0,400.0,550.0,650.0,225.0,335.0,370.0,425.0,500.0,475.0,460.0,475.0,520.0,575.0,660.0,735.0,580.0,575.0,590.0,630.0,673.0,750.0,810.0
150.0,0.0,115.0,250.0,337.0,450.0,167.0,125.0,180.0,265.0,400.0,500.0,220.0,310.0,250.0,210.0,345.0,430.0,385.0,370.0,390.0,435.0,506.0,580.0,540.0,500.0,485.0,488.0,535.0,600.0,660.0
255.0,115.0,0.0,150.0,225.0,335.0,285.0,175.0,122.0,150.0,300.0,380.0,310.0,370.0,275.0,240.0,270.0,495.0,425.0,385.0,360.0,385.0,440.0,500.0,590.0,530.0,495.0,485.0,495.0,530.0,585.0
350.0,250.0,150.0,0.0,125.0,250.0,410.0,310.0,250.0,210.0,235.0,345.0,450.0,520.0,410.0,345.0,320.0,630.0,560.0,500.0,470.0,450.0,470.0,490.0,731.0,663.0,600.0,570.0,560.0,570.0,590.0
475.0,337.0,225.0,125.0,0.0,120.0,520.0,375.0,275.0,160.0,190.0,215.0,540.0,575.0,430.0,350.0,275.0,675.0,585.0,500.0,435.0,400.0,360.0,345.0,750.0,675.0,600.0,535.0,495.0,480.0,495.0
600.0,450.0,335.0,250.0,120.0,0.0,625.0,475.0,354.0,230.0,160.0,145.0,630.0,650.0,500.0,390.0,290.0,750.0,645.0,547.0,453.0,370.0,304.0,283.0,810.0,715.0,615.0,530.0,460.0,417.0,395.0
100.0,167.0,285.0,410.0,520.0,625.0,0.0,187.0,295.0,390.0,525.0,640.0,110.0,240.0,275.0,360.0,346.0,358.0,340.0,375.0,440.0,515.0,610.0,712.0,468.0,495.0,533.0,572.0,600.0,678.0,768.0
250.0,125.0,175.0,310.0,375.0,475.0,187.0,0.0,125.0,242.0,335.0,480.0,140.0,190.0,114.0,167.0,265.0,320.0,250.0,230.0,260.0,332.0,427.0,525.0,418.0,370.0,348.0,365.0,420.0,495.0,580.0
330.0,180.0,122.0,250.0,275.0,354.0,295.0,125.0,0.0,121.0,234.0,357.0,270.0,300.0,170.0,116.0,168.0,415.0,330.0,255.0,233.0,261.0,334.0,424.0,495.0,419.0,370.0,346.0,368.0,417.0,500.0
400.0,265.0,150.0,210.0,160.0,230.0,390.0,242.0,121.0,0.0,152.0,265.0,385.0,422.0,282.0,190.0,164.0,540.0,440.0,357.0,300.0,274.0,298.0,364.0,600.0,527.0,455.0,404.0,390.0,402.0,450.0
550.0,400.0,300.0,235.0,190.0,160.0,525.0,335.0,234.0,152.0,0.0,118.0,502.0,513.0,350.0,235.0,127.0,597.0,491.0,386.0,287.0,208.0,170.0,206.0,641.0,543.0,450.0,366.0,304.0,280.0,309.0
